_id,품목ID,작성자,점수,옵션,댓글
658fd2b45d5e7dffcc8275e5,658fd2aa5d5e7dffcc8275e4,치요데스,5점만점에 5점,[옵션] 핑크다이아,가격대비 그냥 저렴한 손톱영양제 수준이에요가격을 보고 대단한 걸 바라시는 건 조금 ㅎ 안타까워용그냥 다 쓰면 저렴한 걸로 갈아타려고용
658fd2b45d5e7dffcc8275e6,658fd2aa5d5e7dffcc8275e4,슺슺TOP 621한달이상사용,5점만점에 5점,[옵션] 핑크다이아,"젤네일 후 얇아진 손톱이 갈라지고 상해서 영양제가 급히 필요해 구매해봤습니다!🔹사용감향은 일반 메니큐어향이랑 비슷해요! 살짝 독한 느낌입니다.바른 후 빠르게 건조돼서 좋았어요. 색상은 살짝 생기도는 핑크 빛으로 강한 발색 아니고 생기만 주는 느낌입니다.바른 후 반짝반짝 탱글탱글한 느낌이 예뻐요!✔️얇아져서 꺽이는 손톱을 단단하게 만들어줘서 만족스러워요!!손톱에 영양을 줘서 건강해지는지는 더 사용해봐야 알 수 있을 것 같아요!👍🏻빠른 건조, 자연스러운 색상, 단단해지는 손톱🥲 향이 독함, 생각보다 용량 적음"
658fd2b45d5e7dffcc8275e7,658fd2aa5d5e7dffcc8275e4,달나라별,5점만점에 5점,[옵션] 핑크다이아 기획,손톱이 너무 잘깨지고 찢어져서 영양제가 절실 ㅜ손톱 정리도 잘 안되서 지저분했는데 크리스탈푸셔가 기획으로 같이 들어있어서 받자마자 큐티클 정리하고 손톱 정리도 하고 영양제 발랐어요 금새 건조되고 반짝반짝 네일 관리받은것같은 기분이 들어서 기분 좋아요^^손톱이 약해서 젤네일하고나면 손톱이 빠지고 찢어져서 힘들었는데 영양제만 발랐는데 네일샵 다녀온것 같아요!!!바를수록 손톱 손상도 개선된다니 꾸준히 발라보려구요!!
658fd2b45d5e7dffcc8275e8,658fd2aa5d5e7dffcc8275e4,메리블리,5점만점에 5점,[옵션] 핑크다이아 기획,젤네일 오래해서 손톱이 얇아지고 손상이 심한데 지인이 이제품 추천해줘서 구매했어요확실히 이거 바르고나면 손톱이 튼튼해지는 느낌이 들고 맨손톱이어도 핑크빛으로 반짝여서 매니큐어 바른 느낌이에요저는 남편이랑 함께 바르고 있는데 남편 발라주면 좋아하더라구요 ㅎㅎ손톱이 건강해야 네일도 예쁘고 오래 유지되니 휴지기에 잘 챙겨서 발라줘야겠어요!
658fd2b45d5e7dffcc8275e9,658fd2aa5d5e7dffcc8275e4,문라이트527,5점만점에 5점,[옵션] 핑크다이아 기획,평소 손을 사용하는 일을 하고 있어서 손톱 관리에 신경쓰는 편이에요~~ 네일은 하기 좀 그래서 손톱이 깔끔하게 보이도록 큐티클제거와 영양제정도 발라주며 관리 중인데 반디제퓸으로 사용하면 손톱이 튼튼해지고 잘 깨지지 않아 만족하며 사용중인 제품입니다^^
658fd2b45d5e7dffcc8275ea,658fd2aa5d5e7dffcc8275e4,ohsaehwa,5점만점에 5점,[옵션] 핑크다이아 기획,"출산 후 육아와 일 두가지일을 병해하느라 바쁜 나날들손톱케어를 해주어야 하는데 이미 약해진 손톱이부서지거나 거칠어진게 느껴지더라고요손톱세로줄, 손톱 가로줄도 느껴지고 한껏 얇아지고 거칠어진 손톱으로 이럴때 도와줄 수 있는 반디 핑크다이아 손톱영양제를 사용해 봤어요. 바르기도 간편하고 혼자서도 쓱쓱 바르기 좋은 제품으로 미끈거림과 끈적임 없이 산뜻하게 흡수도 빨리되서 아침과 저녁에 바르고 있어요.손톱을 바르기 전과 후를 비교해보면 확실히 수분감이 생겼고 꾸준히 발라주면 손톱세로줄도 없어질 수 있겠더라구요. 꾸준히 사용해야겠어요."
658fd2b45d5e7dffcc8275eb,658fd2aa5d5e7dffcc8275e4,윾라,5점만점에 5점,[옵션] 핑크다이아 기획,"젤네일을 거의 꾸준히 하는데다가 셀프로 뜯은적도 있어서 손톱이 얇고 건조하고 상했어요ㅠㅠ그냥 투명 폴리쉬가 아닌 손톱에 영양을 주고 강화시켜준다고해서 구매했어요적당히 반짝거려서 깔끔해보이고 영양, 강화효과도 있다고하니 꾸준히 사용해보려고요~~"
658fd2b45d5e7dffcc8275ec,658fd2aa5d5e7dffcc8275e4,일하는자몽듀스,5점만점에 5점,[옵션] 핑크다이아 기획,"손톱이 무지막지하게 잘 깨지고 까져서 사봤는데, 확실히 깨지는게 덜 하는것 같슴돠"
658fd2b45d5e7dffcc8275ed,658fd2aa5d5e7dffcc8275e4,zn605znTOP 352,5점만점에 5점,[옵션] 핑크다이아 기획,정말 기대 이상을 충족해준 손톱영양제에요~처음 딱 발랐을 때 손톱에 도는 핑키한 광택이 넘 이뻐서이건 영양제 용도에 추가로 이뻐서 자주 손이 갈 것 같은 제품이라는 생각이 들었어요!그리고 바르자마자 거의 바로 말라서 불편감 없이 사용할 수 있었어요~같이 기획으로 들어 있었던 크리스탈 푸셔도 퀄 좋아서 아주 만족합니당~
658fd2b45d5e7dffcc8275ee,658fd2aa5d5e7dffcc8275e4,이젼이,5점만점에 4점,[옵션] 핑크다이아 기획,핑크색이라 손톱이 건강해 보여서 좋아요!튼튼해 지는건 좀 지켜봐야 알 것 같아요증정된 푸셔 쓰기 편하고 너무 좋네요깔끔하게 정리할 수 있어서 좋아요 ♡
658fd2bc5d5e7dffcc8275ef,658fd2aa5d5e7dffcc8275e4,쥬디v,5점만점에 5점,[옵션] 핑크다이아,발림성이 좋고 지속력이랑 손톱 영양이 잘 지속되어서 만족스러워요.
658fd2bc5d5e7dffcc8275f0,658fd2aa5d5e7dffcc8275e4,뚜까뿡빵,5점만점에 4점,[옵션] 핑크다이아 기획,손톱 강화제는 거기서 거기…엄청 특별하게 좋지는 않아요.한 번 쓰면 공기에 닿으니 점도가 생기고 두껍게 발립니다.생각 보다 양이 적고 크기가 작아요.그래서 쥐고 바를때 그립감이 좋지는 않습니당
658fd2bc5d5e7dffcc8275f1,658fd2aa5d5e7dffcc8275e4,기름진다람TOP 833한달이상사용,5점만점에 3점,[옵션] 핑크다이아,🩷네일샵에서도 쓰는 반디다이아포스!🩷여름내내 패디를 했더니 발톱상태가 안좋더라고요 반디 다이아포스는 몇년째 써왔어서 좋은지 알고있었어요~(반디 다이아포스는 네일샵에서 구입했어요)하지만 핑크다이아는 처음입니다!🩷2주정도 써본거같은데 효과는 똑같이 좋고 다른점은 핑크색이 조금 첨가되있다라는 차이입니다 그리고 샵에서 파는 제품대비 미니사이즈에요 용량 거의 두배차이라서 세일했을때 가격도올영이 비싼듯하네요🤣예전에 초등학생때 문방구에서 사던 핑크투명네일색상이라 저는 다이아포스검은색이 더 좋은듯합니다 재구매의사는 없어요
658fd2bc5d5e7dffcc8275f2,658fd2aa5d5e7dffcc8275e4,작고소중해,5점만점에 5점,[옵션] 핑크다이아 기획,손톱이 워낙 얇고 잘 부러져서 핑크다이아 영양제 잘 사용하고 있었는데거의 다 사용할즈음 크리스탈푸셔기획 나왔길래 재구입했어요꾸준히 사용하니 손톱이 단단해짐이 느쪄지고 거의 부러지지않아 잘 기르고 있고핑크색이다보니 건강해보여요 크리스탈푸셔도 좋네요
658fd2bc5d5e7dffcc8275f3,658fd2aa5d5e7dffcc8275e4,jki****,5점만점에 5점,[옵션] 핑크다이아 기획,젤 위에 무조건 바르는데 점점 손톱이 강화 되는 거를 저도 느끼지만 네 샵에서도 손톱이 점장 건강해 지고 있다고 말 할 정도에요
658fd2bc5d5e7dffcc8275f4,658fd2aa5d5e7dffcc8275e4,김찌이,5점만점에 5점,[옵션] 핑크다이아 기획,손톱이 얇아지고 갈라지고 많이 상해서 네일을 쉬면서 관리좀 하려고 반디영양제 구매!! 투명이 아니라 은은한 핑크빛이 돌아서 손이 심심함이 덜하네요~ 반디로 꾸준히 관리하면서 단단한 손톱으로 돌아가야겠어요~!
658fd2bc5d5e7dffcc8275f5,658fd2aa5d5e7dffcc8275e4,곤숙이,5점만점에 5점,[옵션] 핑크다이아 기획,"진짜 손톱 엄청 두꺼웠는데,,언제부터(나이들면서..)세로줄이 심해지고,, 손톱 좀 길면 찢어지고ㅠㅠ손톱 갈라지고 찢어지는 것 때문에 짧게 자르게 되면서 예쁜손톱은 포기하며 살자했지만!!!!어디가서 손 내밀기 부끄러워서 방법을 찾다가알게됐어요~^^♡ 발라보니 왜 좋은지 느낌 딱~~!!!!일단은 핑크손톱이라 생기있어 보이는게 건강해보여서 좋았고요~♡ 지속력 또한 길어서 4일이 지나도 그대로~!! 앞으로는 어딜가나 자신있게 손내밀거랍니다^^그리고 함께 있는 펜푸셔도 말하믄 입아픈 아이에요!!! 완전좋아용"
658fd2bc5d5e7dffcc8275f6,658fd2aa5d5e7dffcc8275e4,루루시은,5점만점에 5점,[옵션] 핑크다이아 기획,"평소 메니큐어 못바르는 1인입니다.. 바르면 뭔가 답답한 느낌이라 네일은 거의 1회성 제품만 붙였다 떼는 정도에요. 핸드크림 많이 발라도 손톱 영양은 챙기기 부족한건지 손톱 세로선이 개선이 잘 안돼서 구매했어요. 답답한 느낌이 없어서 편하게 사용할 수 있었고, 광택감이 은은하게 돌아서 건강해보이는 느낌이네요! 그리고 크리스탈 푸셔? 이거 진짜 좋아요. 구성 있을때 구매하는게 이득인듯!!"
658fd2bc5d5e7dffcc8275f7,658fd2aa5d5e7dffcc8275e4,블링블링연블링,5점만점에 5점,[옵션] 핑크다이아 기획,기존에 구매한 핑크다이아 뿌리세럼 잘 사용하고 있지만 크리스탈 펜푸셔가 너무 궁금해서 구매했습니다^^큐티클 리무버 바르고 크리스탈 펜푸셔 사용했는데 기대 이상이여서 깜짝 놀랬습니다~ 특히 뾰족한 부분!손톱에 기스 없이 깔끔하게 큐티클 정리할 수 있고 사용 후 안전하게 보관할 수 있는 케이스가 있어서 정말 최고입니당👍🏻손톱영양제 컬러도 괜찮고 브러시도 좋아용💖
658fd2bc5d5e7dffcc8275f8,658fd2aa5d5e7dffcc8275e4,라이까까한달이상사용,5점만점에 5점,[옵션] 핑크다이아,"손톱이 너무 얇아져서 네일샵에서 젤 당분간 하지 말라며 대신 발라줘서 알게된 제품이에요. 젤을 잠시 쉬는동안 헐벗은(?) 손톱에 발라두기 딱 좋아요. 케어 역할도 있지만, 젤 하고나서 손상된 손톱 위에 광택을 내줘서 네일을 안했는데도 깨끗하게 관리한 느낌을 주는 제품이에요. 또 재구매 예정입니다!"
658fd2c55d5e7dffcc8275f9,658fd2aa5d5e7dffcc8275e4,glra****,5점만점에 5점,[옵션] 핑크다이아 기획,"제가 손을 많이 쓰는 일을해서, 손을 자주 닦다보니 손톱이 건조해서 윤기도 없고요. 손톱끝이 갈라지고, 손톱 주변에 거스름이 많이 올라오더라고요. 핸드크림을 자주 발라도 계속 그래서 속상했는데 친구의 추천으로 반디 핑크다이아 손톱영양제 증정기획 세트를 구입했어요.크리스탈 펜푸셔로 손톱의 끝을 밀어서 정리해주고요. (크리스탈 펜푸셔도 대박! 사용 후 물로 닦아내면 되니 위생적이고, 똥손인 저도 손톱끝 정리를 잘 할 수 있어요!)손톱영양제를 발라주니 윤기가 확 나면서 건조하고, 거칠었던 손톱이 반짝반짝하고 영양분을 흡수해서 단단해진 느낌이에요~그리고 손톱주변 거스름도 감쪽같이 싹 잦아들어서 아주 신기했어요~~~똥손인 저도 했으니 다른분들은 더 잘 하실 거 같아요.처음에 저는 묽은듯 발라주니 금새 마르더라고요. 그리고 여러번 덧바르니 꼭 핑크빛 투명 메니큐어를 바른 것 같아서 더 예쁘네요^^ 꾸준히 사용해야겠어요!진작 구매할걸 후회중입니다."
658fd2c55d5e7dffcc8275fa,658fd2aa5d5e7dffcc8275e4,lalala7652,5점만점에 5점,[옵션] 핑크다이아 기획,젤네일 몇번 받았더니 손톱이 너무 상해버려서 사용해보았어요.푸셔도 같이 들어있어 큐티클 정리도 함께 할수 있어 넘 맘에 드네요 !!급해서 사진 마저 못찍었는데 2-3번 덧 바르니 더 좋네요!! (사진엔 한번 바른것)살림하는 아주미라 손에 물 많이 묻는데 지속력도 좋은것 같아요. 꾸준히 발라서 손톱 건강 챙길거에요~~
658fd2c55d5e7dffcc8275fb,658fd2aa5d5e7dffcc8275e4,예징스,5점만점에 5점,[옵션] 핑크다이아 기획,"손톱이 건강하고 예쁘게 보여요.언젠가부터 손톱이 매끄럽지 않고 울퉁불퉁해서 드러내기 창피하더라구요.근데, 이 제품이 영양도 주면서 색상도 핑크빛이라 구매했어요. 관리도 하면서 손톱이 투명한 핑크빛이 되어서 좋아요. 세트 기획제품이라 네일을 관리하기 편했어요."
658fd2c55d5e7dffcc8275fc,658fd2aa5d5e7dffcc8275e4,토리언니1,5점만점에 5점,[옵션] 핑크다이아 기획,젤네일 지우고 나니까 손톱이 힘이 없어서 자꾸 부러져서 세럼도 사고 강화제도 같이 샀어요~~~~!!크리스탈 푸셔 들어잇는지 몰랐는데 유용하네요 ㅎ 한손으로 사진을 찍을 수가 없어서 큐티클 미는거 못찍었는데 부드럽게 잘밀려요강화제는 모양부터가 이뻐요... 패키지 신경 많이 쓰신듯!!손톱 흐물흐물 했는데ㅜ바르니까힘이 생겨서 좋아요 색깔도 핑크빛이라 혈색돌아보여요
658fd2c55d5e7dffcc8275fd,658fd2aa5d5e7dffcc8275e4,김골드TOP 304,5점만점에 5점,[옵션] 핑크다이아 기획,"마침 유리 푸셔가 좋다길래 너무 써보고 싶어서... 따로 사려고 했는데, 증정품 구성에 있는 거 보고 주문했어요.젤네일 엄청 하다가 손톱 얇아지는 게 보여서 요즘 좀 쉬고 있는데, 네일강화제 꾸준히 사용해야겠어요.그리고 일단 푸셔 먼저 사용해 봤는데,오!!! 좋은데요!제가 손톱 뜯던 버릇이 있었어서 지금도 손톱 주위에 굳은 살이 많은데 잘 갈려요."
658fd2c55d5e7dffcc8275fe,658fd2aa5d5e7dffcc8275e4,혬삐둡삐,5점만점에 5점,[옵션] 핑크다이아 기획,손톱 젤네일을 자주 했더니 손톱도 얇아지고 깨지고 갈라져서 스트레스였어요. 윤기도 사라지고 못난 손톱으로 되어가는 느낌. 근디 반디 영양제라니! 발림성도 부드러워서 실패 없이 한 번에 착! 그리고 2-3일에 한 번씩 발라주니 조금씩 건강해지는 게 눈에 보이네요. 더 다양한 컬러로 나오면 너무 좋을듯요👍🏻
658fd2c55d5e7dffcc8275ff,658fd2aa5d5e7dffcc8275e4,현젼,5점만점에 5점,[옵션] 핑크다이아 기획,손톱이 자주 깨지고 건강하지 않아서 그런지 ㅠㅠ 항상 고민이다가 샀는데 며칠 사용해보니 괜찮은 것 같아요!!발림성도 부드럽고 흡수가 빨라서 두 번 덧발랐더니 깨지는것도 적은 것 같아서 좋아요~~ 여러 제품 사용해봤고 반디 영양제는 처음인데 이제 정착하려고용
658fd2c55d5e7dffcc827600,658fd2aa5d5e7dffcc8275e4,comejulietTOP 96재구매,5점만점에 5점,[옵션] 핑크다이아,"저는 손톱이 너무 약해서 스트레스를 받고 피곤할 때 손톱이 많이 부러져요. 그래서 6월에 기말고사가 끝나고 손톱이 엉망이 되었습니다!!그래서 저는 손톱을 튼튼하게 하고 다시 건강하게 자라게 하기 위해 이 매니큐어를 샀습니다 💅🏻이 매니큐어는 조금 비싸긴 하지만 품질은 좀 더 저렴한 매니큐어보다 조금 더 좋습니다. 보통 거의 매일 영양제 매니큐어를 다시 발라야 하는데, 이 매니큐어는 며칠 동안 잘 유지됩니다 💫또한, 제 손톱의 상태는 서서히 개선되고 있습니다. 하지만 저는 이것이 대부분 더 나은 식단과 충분한 수면 때문이라고 생각합니다.전체적으로 제가 지금까지 해본 영양제 매니큐어 중 가장 좋아하는 제품입니다. 살짝 핑크색으로 손톱에 아주 예쁘게 잘 어울립니다. 손톱을 짧게 깎어도 윤기있고 귀여워 보여요. 첫날이 지나면 윤기가 조금 사라지지만 매니큐어가 잘 묻어나고 손톱을 잘 보호해주는 느낌! 💍비싸지만 그만한 가치가 있습니다!"
658fd2c55d5e7dffcc827601,658fd2aa5d5e7dffcc8275e4,Zillah,5점만점에 5점,[옵션] 핑크다이아 기획,반디네일강화제 있는데 엄마한테 뺏기고 크리스탈 푸셔 탐나서 재구매했어요일단 푸셔랑 다르게 마찰력이 더 강해서 효과 대박이고요반디 네일강화제는 원래 쓰던거처럼 효과 좋아서 항상 이것만 씁니당 이거 다 쓰면 또 재구매할거에요재구매의사 900퍼💕
658fd2c55d5e7dffcc827602,658fd2aa5d5e7dffcc8275e4,글로리호옹재구매,5점만점에 5점,[옵션] 핑크다이아,핑크핑크한 작은 네일 영양제여서손톱관리하는 테이블에 놓기에도 너무 예쁘구요손톱에 바를때 너무 찐득하지않아서 손톱에 균일하게 바르기 너무 좋아요ㅎ향도 너무 화학적인 냄새가 나지않고 향긋한 향이나서 꾸준히 계속 바르고싶은 네일영양제에요!!
658fd2ce5d5e7dffcc827603,658fd2aa5d5e7dffcc8275e4,하늘높잉,5점만점에 5점,[옵션] 핑크다이아 기획,"손톱 관리하기 위해 구매했는데 너무 마음에 들어요!평소 손톱에 대해 신경을 안써서 영양을 채워주는게 좋겠더라고요~약간 손톱 표면이 거친 느낌?이 좀 있었는데, 발라봤더니 손톱 표면이 부드럽고 맨들맨들해졌어요♡투명하면서 매끄럽게, 이뻐요.손톱 거침도 개선해주고 영양까지 주니 손톱 케어하기 괜찮네요.손톱이 관리 받은 것처럼 됬네요 ㅎ"
658fd2ce5d5e7dffcc827604,658fd2aa5d5e7dffcc8275e4,워니라이프,5점만점에 5점,[옵션] 핑크다이아 기획,"젤 시술을 자주 해서 그런지 손톱이 얇아지고 부러져서ㅠㅠ 겨울엔 손 꺼낼일이 거의 없으니까 당분간은 젤 시술 잠시 멈추고 집에서 네일영양제 꾸준히 바르고 관리하려고 구매했구요~ 일주일 정도 사용했는데 확실히 관리 전, 후 손톱 표면 두께감이라던가 튼튼함이 다른듯 ㅎㅎ 앞으로도 꾸준히, 열심히 발라볼래요"
658fd2ce5d5e7dffcc827605,658fd2aa5d5e7dffcc8275e4,우리콩이재구매,5점만점에 5점,[옵션] 핑크다이아,너뮤 잘쓰고 잇어요바디길어졌다고 한달 후기 남겼엇는데 엄마한테 좋다고 뺏겨서 또 샀어요 ㅋㅋ 네일 자주 하시는 분들 필수에여ㅠㅠ안바르면 손톱 거칠거칠해유..🥲🩵 네일 바르기전 베이스로도 적합하고 걍 써도 약간 핑크빛 나서 예뻐용
658fd2ce5d5e7dffcc827606,658fd2aa5d5e7dffcc8275e4,달려라봉고한달이상사용,5점만점에 5점,[옵션] 핑크다이아,얇은 매니큐어로 보시면 됩니다 냄새도 그렇고요 저는 딱 맘에들어요 얇게 발려서 벗겨지기 쉬운편이긴 합니다
658fd2ce5d5e7dffcc827607,658fd2aa5d5e7dffcc8275e4,초코몽이,5점만점에 5점,[옵션] 핑크다이아 기획,"손톱이 얇은 편이라 맨 손톱일 때 조금만 길러도 잘 꺾이고 찢어져서 아플 때가 많고, 표면에 생기가 없어 건강해 보이지 않아서 꼭 필요했던 손톱 영양제..!!크리스탈 펜푸셔도 들어있어서 깔끔하게 큐티클 정리도 하고,손톱 정리 후 발라줬더니 표면에 윤기가 나고 매끈매끈해지는 게 지속력도 좋고 발림성도 좋아요.꾸준히 발라주면 손톱 거칠기도 가라앉고 잘 부러지는 것도 좋아질 것 같습니다!바를수록 은은하게 핑크빛이 올라와서 생기 있어 보여 만족-!"
658fd2ce5d5e7dffcc827608,658fd2aa5d5e7dffcc8275e4,다루룽,5점만점에 5점,[옵션] 핑크다이아 기획,평상시에 손톱 관리를 안하다보니 너무 건조하고 손에도 자신감이 없어서 구매해봤어요! 일단 분홍분홍한 색감이 이쁘고 자연스럽게 발려서 너무 마음에 들었어요🥰 이것만 발라줘도 손톱이 예뻐보이네요👍 저처럼 네일은 부담스럽고 은은한거 좋아하는 사람에게 딱이에요 진작부터 알았으면 좋았을텐데ㅜㅜ앞으로 잘 써보려구요!!
658fd2ce5d5e7dffcc827609,658fd2aa5d5e7dffcc8275e4,스팸S2,5점만점에 5점,[옵션] 핑크다이아 기획,"겨울에 특히 손톱이 많이 상 해서 제품을 찾아보고 있었는데, 구매해서 사용해보니 발림성도 좋고, 손톱에 핑크빛 윤기가 돌아서 생기 보이고 관리 받은 느낌이라서 좋았어요>_<크리스탈 펜 푸셔도 같이 와서 사용해보니 똥손인 저에게 큐티클 제거로 딱임!사용하고 손톱이 강해진것 같아서 너무 좋았어요 강츄"
658fd2ce5d5e7dffcc82760a,658fd2aa5d5e7dffcc8275e4,쎌라비한달이상사용,5점만점에 5점,[옵션] 핑크다이아,꾸준히 사용중인데 확실히 손톱이 튼튼해진것 같아요! 앞으로도 꾸준히 사용할 예정입니다
658fd2ce5d5e7dffcc82760b,658fd2aa5d5e7dffcc8275e4,방탄바라기한달이상사용,5점만점에 5점,[옵션] 핑크다이아,저렴한 모디라인 영양제를 자주 쓰다가이거 추천글 보고 여름철 젤 네일 손톱 깨진거 드디어안정기 극복!!! 진작 이걸 몰라서 한두달 고생한구 생각하믄너무 화가나요~~ 일주일에 한번씩 지웠다가 다시 바르니 효과 생각보다 회복이며 깨짐 방지 되고 한 번 바를때 말리면서 2-3번 하면 단단함까지 꽤 솔쏠해요용량 더 늘려주세옹
658fd2ce5d5e7dffcc82760c,658fd2aa5d5e7dffcc8275e4,콩비지걸,5점만점에 5점,[옵션] 핑크다이아 기획,"잦은 네일아트로 손톱이 많이 지쳤는지 자꾸 갈라지고.. 너무 얇아졌어요.......^_ㅠ매번 샵가기는 힘들고 해서 이번에 홈케어로 간단하게 손톱에 영양을 보충해주려고 반디 핑크다이아 손톱영양제를 구매해봤어요!처음에 얇게 펴발라주고 2-3일에 한번씩 덧발라주다가 일주일 뒤에 리무버로 싹 지우면 되는 간편한 타입인데요비타민 A,E,C유도체 + 아미노산 + 해초 추출물이 들어있어서 그런지 바르고 나니까 손톱 건조함도 개선되고, 손톱이 전보다 강해진 게 느껴져요 ㅎㅎ 또 바르고 나면 자연스러운 컬러감으로 인해 손톱이 뭔가 활력있어 보여서 어디서든 부끄럽지 않게 손톱을 내밀 수 있어요 ><손톱영양제 + 손톱강화제 여러개 바르지 않고, 요거 하나만 발라줘도 손톱 강화는 물론 손톱영양 케어를 해줄 수 있어 좋은 것 같아요!저처럼 손톱 손상이 심해서 얇고 갈라지는 종잇장 손톱이신분들,,, 우리 함께 반디 핑크다이아 손톱영양제로 튼튼하고 매끈한 손톱으로 관리해보아요 🖤역시 반디 제품 유명한데에는 다 이유가 있는 것 같아요 +_+"
